sample_id	total_mutations	bin_label	sbs3_relative_exposure_true	recovered_exome_normalized	recovered_no_normalization	abs_error_normalized	abs_error_no_normalization	normalization_improves
SIM-01554	85	[85,95)	0.3175	0.0	0.0	0.3175	0.3175	False
SIM-01591	41	[35,45)	0.3914	0.0	0.0	0.3914	0.3914	False
SIM-01608	61	[55,65)	0.0028	0.0	0.0	0.0028	0.0028	False
SIM-01609	63	[55,65)	0.4119	0.555556	0.47619	0.143656	0.06429	False
SIM-01675	46	[45,55)	0.1011	0.0	0.0	0.1011	0.1011	False
SIM-01680	57	[55,65)	0.1679	0.0	0.0	0.1679	0.1679	False
SIM-01717	95	[95,105)	0.3464	0.0	0.0	0.3464	0.3464	False
SIM-01719	58	[55,65)	0.4126	0.0	0.0	0.4126	0.4126	False
SIM-01743	87	[85,95)	0.4591	0.0	0.0	0.4591	0.4591	False
SIM-01748	36	[35,45)	0.5075	0.0	0.0	0.5075	0.5075	False
SIM-01753	86	[85,95)	0.2859	0.0	0.0	0.2859	0.2859	False
SIM-01777	72	[65,75)	0.3965	0.0	0.0	0.3965	0.3965	False
SIM-01838	18	[15,25)	0.1203	0.0	0.0	0.1203	0.1203	False
SIM-01896	24	[15,25)	0.0345	0.0	0.0	0.0345	0.0345	False
SIM-01899	43	[35,45)	0.0	0.0	0.0	0.0	0.0	False
SIM-01960	78	[75,85)	0.0	0.0	0.0	0.0	0.0	False
SIM-01992	98	[95,105)	0.0282	0.295918	0.0	0.267718	0.0282	False
SIM-01993	53	[45,55)	0.1372	0.0	0.0	0.1372	0.1372	False
SIM-02010	99	[95,105)	0.0	0.0	0.0	0.0	0.0	False
SIM-02013	61	[55,65)	0.0	0.0	0.0	0.0	0.0	False
SIM-02053	44	[35,45)	0.0	0.0	0.0	0.0	0.0	False
SIM-02058	64	[55,65)	0.0448	0.0	0.0	0.0448	0.0448	False
SIM-02101	102	[95,105)	0.0	0.0	0.0	0.0	0.0	False
SIM-02188	20	[15,25)	0.234	0.0	0.0	0.234	0.234	False
SIM-02246	75	[75,85)	0.0814	0.0	0.0	0.0814	0.0814	False
SIM-02330	11	[5,15)	0.0	0.0	0.0	0.0	0.0	False
SIM-02393	49	[45,55)	0.0	0.0	0.0	0.0	0.0	False
SIM-02419	71	[65,75)	0.2824	0.0	0.0	0.2824	0.2824	False
SIM-02432	65	[65,75)	0.3471	0.0	0.0	0.3471	0.3471	False
SIM-02433	56	[55,65)	0.0515	0.0	0.0	0.0515	0.0515	False
SIM-02468	30	[25,35)	0.0	0.0	0.0	0.0	0.0	False
SIM-02469	77	[75,85)	0.0	0.0	0.0	0.0	0.0	False
SIM-02481	90	[85,95)	0.0	0.0	0.0	0.0	0.0	False
SIM-02483	73	[65,75)	0.0	0.0	0.0	0.0	0.0	False
SIM-02537	27	[25,35)	0.0	0.0	0.0	0.0	0.0	False
SIM-02568	94	[85,95)	0.0	0.0	0.0	0.0	0.0	False
SIM-02609	105	[105,116)	0.0	0.0	0.0	0.0	0.0	False
SIM-02617	43	[35,45)	0.0	0.0	0.0	0.0	0.0	False
SIM-02623	34	[25,35)	0.0	0.0	0.0	0.0	0.0	False
SIM-02633	92	[85,95)	0.0334	0.0	0.0	0.0334	0.0334	False
SIM-02644	88	[85,95)	0.0	0.0	0.0	0.0	0.0	False
SIM-02652	110	[105,116)	0.3557	0.509091	0.4	0.153391	0.0443	False
SIM-02682	31	[25,35)	0.0	0.0	0.0	0.0	0.0	False
SIM-02723	87	[85,95)	0.0	0.0	0.0	0.0	0.0	False
SIM-02767	63	[55,65)	0.0095	0.0	0.0	0.0095	0.0095	False
SIM-02792	33	[25,35)	0.0	0.0	0.0	0.0	0.0	False
SIM-02800	55	[55,65)	0.0276	0.0	0.0	0.0276	0.0276	False
SIM-02873	23	[15,25)	0.0521	0.0	0.0	0.0521	0.0521	False
SIM-02898	30	[25,35)	0.0311	0.0	0.0	0.0311	0.0311	False
SIM-02910	82	[75,85)	0.0	0.0	0.0	0.0	0.0	False
SIM-02931	29	[25,35)	0.0	0.0	0.0	0.0	0.0	False
