sample_id	total_mutations	bin_label	sbs3_relative_exposure_true	recovered_exome_normalized	recovered_no_normalization	abs_error_normalized	abs_error_no_normalization	normalization_improves
SIM-09975	36	[35,45)	0.0186	0.0	0.0	0.0186	0.0186	False
SIM-10004	54	[45,55)	0.007	0.0	0.0	0.007	0.007	False
SIM-10035	95	[95,105)	0.0919	0.0	0.0	0.0919	0.0919	False
SIM-10048	39	[35,45)	0.0779	0.0	0.0	0.0779	0.0779	False
SIM-10088	81	[75,85)	0.0	0.0	0.0	0.0	0.0	False
SIM-10130	36	[35,45)	0.0	0.0	0.0	0.0	0.0	False
SIM-10159	95	[95,105)	0.1833	0.0	0.0	0.1833	0.1833	False
SIM-10178	21	[15,25)	0.057	0.0	0.0	0.057	0.057	False
SIM-10181	22	[15,25)	0.104	0.0	0.0	0.104	0.104	False
SIM-10228	22	[15,25)	0.2449	0.0	0.0	0.2449	0.2449	False
SIM-10243	42	[35,45)	0.1204	0.0	0.0	0.1204	0.1204	False
SIM-10251	97	[95,105)	0.2799	0.0	0.0	0.2799	0.2799	False
SIM-10287	69	[65,75)	0.1836	0.0	0.0	0.1836	0.1836	False
SIM-10291	96	[95,105)	0.0075	0.0	0.0	0.0075	0.0075	False
SIM-10309	22	[15,25)	0.0823	0.0	0.0	0.0823	0.0823	False
SIM-10354	44	[35,45)	0.1795	0.0	0.0	0.1795	0.1795	False
SIM-10355	53	[45,55)	0.3459	0.0	0.0	0.3459	0.3459	False
SIM-10356	73	[65,75)	0.0	0.0	0.0	0.0	0.0	False
SIM-10376	92	[85,95)	0.1287	0.0	0.0	0.1287	0.1287	False
SIM-10410	75	[75,85)	0.1161	0.0	0.0	0.1161	0.1161	False
SIM-10463	52	[45,55)	0.0	0.0	0.0	0.0	0.0	False
SIM-10464	86	[85,95)	0.0912	0.0	0.0	0.0912	0.0912	False
SIM-10477	81	[75,85)	0.1895	0.0	0.0	0.1895	0.1895	False
SIM-10544	94	[85,95)	0.148	0.0	0.0	0.148	0.148	False
SIM-10551	54	[45,55)	0.0921	0.0	0.0	0.0921	0.0921	False
SIM-10589	44	[35,45)	0.2356	0.0	0.0	0.2356	0.2356	False
SIM-10597	39	[35,45)	0.4212	0.0	0.0	0.4212	0.4212	False
SIM-10601	93	[85,95)	0.189	0.0	0.0	0.189	0.189	False
SIM-10667	115	[105,116)	0.155	0.0	0.0	0.155	0.155	False
SIM-10709	50	[45,55)	0.1592	0.0	0.0	0.1592	0.1592	False
SIM-10725	80	[75,85)	0.0	0.0	0.0	0.0	0.0	False
SIM-10770	17	[15,25)	0.1246	0.0	0.0	0.1246	0.1246	False
SIM-10835	71	[65,75)	0.1959	0.507042	0.0	0.311142	0.1959	False
SIM-10973	50	[45,55)	0.0894	0.0	0.0	0.0894	0.0894	False
SIM-10987	47	[45,55)	0.0	0.0	0.0	0.0	0.0	False
SIM-11021	54	[45,55)	0.0291	0.0	0.0	0.0291	0.0291	False
SIM-11046	56	[55,65)	0.3305	0.0	0.0	0.3305	0.3305	False
SIM-11067	21	[15,25)	0.0665	0.0	0.0	0.0665	0.0665	False
