"tumor","exp_sig3","rat_sig3","sig_max_wl","max_wl"
"SIM-05654",20.7752816431059,0.352123417679761,"Signature_5",0.676626135555862
"SIM-05655",32.5994618886749,0.397554413276523,"Signature_3",0.7062549060211
"SIM-05656",24.6670461358508,0.560614684905701,"Signature_3",0.994870281499889
"SIM-05657",39.5023805508839,0.647580009030883,"Signature_3",0.999999992654201
"SIM-05658",22.2585205913915,0.289071695992097,"Signature_3",0.999999807856262
"SIM-05659",18.3917449885994,0.291932460136499,"Signature_3",0.999540053972294
"SIM-05660",13.0777398735857,0.290616441635237,"Signature_5",0.813643023097171
"SIM-05661",12.4076172262875,0.187994200398295,"Signature_5",0.999997326387668
"SIM-05662",42.5783579277166,0.591366082329397,"Signature_3",0.999999008594764
"SIM-05663",16.5525122265221,0.275875203775369,"Signature_3",0.513181216495235
"SIM-05664",7.96661929541369,0.139765250796731,"Signature_5",0.999999528050445
"SIM-05665",0,0,"Signature_5",0.99998945441619
"SIM-05666",7.84838703331739,0.150930519871488,"Signature_3",0.842711568958025
